"name","abbr","regi"
"Zürich","ZH","Zürich Schaffhausen"
"Bern / Berne","BE","Bern Freiburg Wallis"
"Luzern","LU","Zentralschweiz"
"Uri","UR","Zentralschweiz"
"Schwyz","SZ","Zentralschweiz"
"Obwalden","OW","Zentralschweiz"
"Nidwalden","NW","Zentralschweiz"
"Glarus","GL","Ostschweiz"
"Zug","ZG","Zentralschweiz"
"Fribourg / Freiburg","FR","Bern Freiburg Wallis"
"Solothurn","SO","Aargau Solothurn"
"Basel-Stadt","BS","Basel Baselland"
"Basel-Landschaft","BL","Basel Baselland"
"Schaffhausen","SH","Zürich Schaffhausen"
"Appenzell Ausserrhoden","AR","Ostschweiz"
"Appenzell Innerrhoden","AI","Ostschweiz"
"St. Gallen","SG","Ostschweiz"
"Graubünden / Grigioni / Grischun","GR","Graubünden"
"Aargau","AG","Aargau Solothurn"
"Thurgau","TG","Ostschweiz"
"Ticino","TI","RSI"
"Vaud","VD","RTS"
"Valais / Wallis","VS","Bern Freiburg Wallis"
"Neuchâtel","NE","RTS"
"Genève","GE","RTS"
"Jura","JU","RTS"
