"id","description"
"011","– Gesetzgebende Gewalt
– Parlamente, ständige und ad hoc Kommissionen, Wahlen, Abstimmungen"
"012","– Ausführende Gewalt
– Bundes-, Staats-, Regierungs- und Gemeinderäte
Umfasst nicht:
– Generalsekretariate, Sekretariate der Departementschefs auf Bundes-, Kantons- und Gemeindeebene, departementsübergreifende Kommissionen, die mit einer bestimmten Aufgabe betraut sind (Einteilung gemäss deren Aufgabengebiet)"
"021","– Emissionskosten (962), Verwaltung der öffentlichen Mittel, Anwendung von Besteuerungssystemen (inkl. Steuerbussen)
– Finanzämter, Zollbehörden, Dienstleistungen des Rechnungswesens und der Rechnungsprüfung
– Finanz- und Steuerverwaltung und entsprechende Dienstleistungen auf allen staatlichen Verwaltungsebenen
Umfasst nicht:
– Verwaltung von Vermögen und Schulden (96), Bankenaufsicht (860), Rechnungsprüfungskommissionen (011)
– Betreibungskosten (Funktion des entsprechenden Geschäftsfalls)"
"022","– Allgemeine Verwaltung
– Dienstleistungen, die keiner bestimmten Funktion zugeordnet werden können"
"023","– Verwaltung, Betrieb oder Unterstützung im meteorologischen Bereich wie Meteorologische Weltorganisation in Genf, Europäische Organisation Betrieb Wettersatelliten Darmstadt, Europ. Zentrum für mittelfristige Wettervorhersage
– Verwaltung, Betrieb oder Unterstützung im Bereich der Landestopographie"
"029","– Verwaltungsliegenschaften, die keiner bestimmten Funktion zugeordnet werden können (Mehrfachnutzung)"
"031","– Verwaltung der auswärtigen Angelegenheiten und entsprechende Dienstleistungen
– Betrieb des Amtes für auswärtige Angelegenheiten und von diplomatischen und konsularischen Vertretungen im Ausland oder am Sitz internationaler Organisationen, Erbringung oder Unterstützung von bestimmten Informations- und Kulturdienstleistungen im Ausland, Betrieb oder Unterstützung von Bibliotheken, Lesesälen und Dokumentationsdiensten im Ausland
– Reguläre Mitglieds- und Sonderbeiträge zur Abdeckung der allgemeinen Betriebskosten von internationalen Organisationen
Umfasst nicht:
– Wirtschaftshilfe für Entwicklungs- und Übergangsländer (033 oder 034)
– Wirtschaftshilfemissionen, die bei ausländischen Regierungen akkreditiert sind (033 oder 034)
– Beiträge zu Wirtschaftshilfeprogrammen internationaler oder regionaler Organisationen (033)
– Militärische Einheiten, die im Ausland stationiert sind (161)
– Militärhilfe für das Ausland (163)
– Allgemeine Angelegenheiten der Außenwirtschaft (850)
– Angelegenheiten und Dienstleistungen des Fremdenverkehrs (840)"
"032","– Humanitäre Hilfe
Umfasst nicht: 
– Friedensförderung (163)"
"033","– Verwaltung der über internationale Organisationen geleisteten Wirtschaftshilfe
– Beiträge in Form von Geld- oder Sachleistungen zu Fonds für Entwicklungshilfe, die von internationalen, regionalen oder multinationalen Organisationen geführt werden
Umfasst nicht:,
– Hilfe für internationale friedenssichernde Maßnahmen (163)"
"034","– Verwaltung der wirtschaftlichen Zusammenarbeit mit Entwicklungsländern
– Betrieb von Wirtschaftshilfemissionen, die bei ausländischen Regierungen akkreditiert sind, Betrieb oder Unterstützung von technischen Hilfsprogrammen, Schulungsprogrammen, Forschungsprojekten und Stipendienprogrammen
– Wirtschaftshilfe in der Form von Zuschüssen (in Geld- oder Sachleistungen) oder Darlehen (ungeachtet der Zinsbelastungen)
Umfasst nicht:
– Beiträge zu wirtschaftlichen Entwicklungsfonds internationaler oder regionaler Organisationen (033)
– Militärhilfe für das Ausland (163)"
