bfs_id,official,de,fr,it
230,Winterthur,NA,Winterthour,NA
261,Zürich,NA,Zurich,Zurigo
351,Bern,NA,Berne,Berna
371,Biel/Bienne,Biel (BE),Bienne,NA
404,Burgdorf,NA,Berthoud,NA
492,Erlach,NA,Cerlier,NA
372,Evilard,Leubringen,NA,NA
495,Gampelen,NA,Champion,NA
496,Ins,NA,Anet,NA
387,Lengnau (BE),NA,Longeau,NA
740,Ligerz,NA,Gléresse,NA
700,Moutier,Münster (BE),NA,NA
669,Münchenwiler,NA,Villars-les-Moines,NA
723,La Neuveville,Neuenstadt,NA,NA
392,Pieterlen,NA,Perles,NA
843,Saanen,NA,Gessenay,NA
443,Saint-Imier,St. Immer,NA,NA
793,St. Stephan,NA,Saint-Etienne,NA
708,Schelten,NA,La Scheulte,NA
942,Thun,NA,Thoune,NA
756,Twann-Tüscherz,NA,Douanne-Daucher,NA
1061,Luzern,NA,Lucerne,Lucerna
1372,Schwyz,NA,Schwytz,Svitto
1632,Glarus,NA,Glaris,Glarona
1711,Zug,NA,Zoug,Zugo
5623,Büchslen,NA,Buchillon,NA
2250,Courgevaux,Gurwolf,NA,NA
2293,Düdingen,NA,Guin,NA
2196,Fribourg,Freiburg,NA,Friburgo
2260,Gempenach,NA,Champagny,NA
2294,Giffers,NA,Chevrilles,NA
2135,Gruyères,Greyerz,NA,NA
2262,Gurmels,NA,Cormondes,NA
2138,Jaun,NA,Bellegarde,NA
2265,Kerzers,NA,Chiètres (FR),NA
2270,Lurtigen,NA,Lourtens,NA
2271,Meyriez,Merlach,NA,NA
2274,Muntelier,NA,Montilier,NA
2275,Murten,NA,Morat,NA
2299,Plaffeien,NA,Planfayon,NA
2301,Rechthalten,NA,Dirlaret,NA
2277,Salvenach,NA,Salvagny,NA
2302,St. Antoni,NA,Saint-Antoine,NA
2303,St. Silvester,NA,Saint-Silvestre,NA
2304,St. Ursen,NA,Saint-Ours,NA
2306,Tafers,NA,Tavel,NA
2307,Tentlingen,NA,Tinterin,NA
2278,Ulmiz,NA,Ormey,NA
2546,Grenchen,NA,Granges (SO),NA
2601,Solothurn,NA,Soleure,Soletta
2701,Basel,NA,Bâle,Basilea
2787,Laufen,NA,Laufon,NA
2939,Schaffhausen,NA,Schaffhouse,Sciaffusa
3101,Appenzell,NA,NA,Appenzello
3203,St. Gallen,NA,Saint-Gall,San Gallo
3901,Chur,NA,Coire,Coira
4289,Zofingen,NA,Zofingue,NA
5002,Bellinzona,NA,Bellinzone,NA
5586,Lausanne,NA,NA,Losanna
6002,Brig-Glis,NA,Brigue-Glis,Briga-Glis
6110,Leuk,NA,Loèche-Ville,NA
6111,Leukerbad,NA,Loèche-les-Bains,NA
6199,Raron,NA,Rarogne,NA
6113,Salgesch,NA,Salquenen,NA
6292,St. Niklaus,NA,Saint-Nicolas,NA
6248,Sierre,Siders,NA,NA
6009,Simplon,NA,NA,Sempione
6266,Sion,Sitten,NA,NA
6114,Turtmann,NA,Tourtemagne,NA
6116,Varen,NA,Varone,NA
6297,Visp,NA,Viège,NA
6458,Neuchâtel,Neuenburg,NA,NA
6621,Genève,Genf,NA,Ginevra
6711,Delémont,Delsberg,NA,NA
6800,Porrentruy,Pruntrut,NA,NA
