bfs_id,name,kanton,groesse,sprache
261,"Zürich",ZH,gross,D
351,"Bern",BE,gross,D
2701,"Basel",BS,gross,D
5586,"Lausanne",VD,gross,F
6621,"Genève",GE,gross,F
230,"Winterthur",ZH,mittel,D
371,"Biel/Bienne",BE,mittel,D
942,"Thun",BE,mittel,D
1061,"Luzern",LU,mittel,D
1711,"Zug",ZG,mittel,D
2196,"Fribourg",FR,mittel,F
2581,"Olten",SO,mittel,D
2601,"Solothurn",SO,mittel,D
2939,"Schaffhausen",SH,mittel,D
3203,"St. Gallen",SG,mittel,D
3427,"Wil (SG)",SG,mittel,D
3901,"Chur",GR,mittel,D
4001,"Aarau",AG,mittel,D
4021,"Baden",AG,mittel,D
5002,"Bellinzona",TI,mittel,I
5113,"Locarno",TI,mittel,I
5192,"Lugano",TI,mittel,I
5886,"Montreux",VD,mittel,F
5890,"Vevey",VD,mittel,F
6266,"Sion",VS,mittel,F
6421,"La Chaux-de-Fonds",NE,mittel,F
6458,"Neuchâtel",NE,mittel,F
121,"Wetzikon (ZH)",ZH,klein,D
3001,"Herisau",AR,klein,D
3215,"Rorschach",SG,klein,D
3251,"Altstätten",SG,klein,D
4095,"Brugg",AG,klein,D
4289,"Zofingen",AG,klein,D
4401,"Arbon",TG,klein,D
5250,"Chiasso",TI,klein,I
5254,"Mendrisio",TI,klein,I
6436,"Le Locle",NE,klein,F
306,"Lyss",BE,klein,D
329,"Langenthal",BE,klein,D
404,"Burgdorf",BE,klein,D
1103,"Sursee",LU,klein,D
1201,"Altdorf (UR)",UR,klein,D
1301,"Einsiedeln",SZ,klein,D
1344,"Lachen",SZ,klein,D
1372,"Schwyz",SZ,klein,D
1407,"Sarnen",OW,klein,D
1509,"Stans",NW,klein,D
1632,"Glarus",GL,klein,D
2125,"Bulle",FR,klein,F
2546,"Grenchen",SO,klein,D
3271,"Buchs (SG)",SG,klein,D
3340,"Rapperswil-Jona",SG,klein,D
3379,"Wattwil",SG,klein,D
4082,"Wohlen (AG)",AG,klein,D
4141,"Reinach (AG)",AG,klein,D
4201,"Lenzburg",AG,klein,D
4436,"Romanshorn",TG,klein,D
4566,"Frauenfeld",TG,klein,D
4671,"Kreuzlingen",TG,klein,D
5401,"Aigle",VD,klein,F
5822,"Payerne",VD,klein,F
5938,"Yverdon-les-Bains",VD,klein,F
6002,"Brig-Glis",VS,klein,D
6136,"Martigny",VS,klein,F
6153,"Monthey",VS,klein,F
6248,"Sierre",VS,klein,F
6297,"Visp",VS,klein,D
6711,"Delémont",JU,klein,F
700,"Moutier",BE,klein,F
902,"Langnau im Emmental",BE,klein,D
6512,"Val-de-Travers",NE,klein,F
