income;percentage;tax
8800;2.0000;176.00
8900;2.0034;178.30
9000;2.0125;181.15
9100;2.0216;183.95
9200;2.0304;186.80
9300;2.0395;189.65
9400;2.0486;192.55
9500;2.0576;195.45
9600;2.0667;198.40
9700;2.0757;201.35
9800;2.0848;204.30
9900;2.0938;207.30
10000;2.1027;210.25
10100;2.1120;213.30
10200;2.1208;216.30
10300;2.1298;219.35
10400;2.1389;222.45
10500;2.1480;225.55
10600;2.1570;228.65
10700;2.1661;231.75
10800;2.1750;234.90
10900;2.1842;238.10
11000;2.1931;241.25
11100;2.2021;244.45
11200;2.2112;247.65
11300;2.2203;250.90
11400;2.2291;254.10
11500;2.2384;257.40
11600;2.2472;260.70
11700;2.2563;264.00
11800;2.2654;267.30
11900;2.2746;270.70
12000;2.2835;274.00
12100;2.2925;277.40
12200;2.3013;280.75
12300;2.3106;284.20
12400;2.3197;287.65
12500;2.3286;291.10
12600;2.3376;294.55
12700;2.3466;298.00
12800;2.3557;301.55
12900;2.3648;305.05
13000;2.3738;308.60
13100;2.3827;312.15
13200;2.3920;315.75
13300;2.4006;319.30
13400;2.4098;322.90
13500;2.4189;326.55
13600;2.4280;330.20
13700;2.4368;333.85
13800;2.4461;337.55
13900;2.4550;341.25
14000;2.4640;344.95
14100;2.4731;348.70
14200;2.4822;352.45
14300;2.4912;356.25
14400;2.5003;360.05
14500;2.5090;363.80
14600;2.5182;367.65
14700;2.5274;371.55
14800;2.5363;375.35
14900;2.5454;379.25
15000;2.5544;383.15
15100;2.5634;387.05
15200;2.5725;391.00
15300;2.5816;395.00
15400;2.5906;398.95
15500;2.5995;402.90
15600;2.6085;406.95
15700;2.6176;410.95
15800;2.6267;415.00
15900;2.6357;419.10
16000;2.6448;423.15
16100;2.6538;427.25
16200;2.6627;431.35
16300;2.6718;435.50
16400;2.6808;439.65
16500;2.6899;443.85
16600;2.6989;448.00
16700;2.7078;452.20
16800;2.7168;456.40
16900;2.7259;460.70
17000;2.7350;464.95
17100;2.7440;469.20
17200;2.7531;473.55
17300;2.7621;477.85
17400;2.7712;482.20
17500;2.7802;486.55
17600;2.7893;490.90
17700;2.7984;495.30
17800;2.8081;499.85
17900;2.8182;504.45
18000;2.8284;509.10
18100;2.8387;513.80
18200;2.8488;518.50
18300;2.8590;523.20
18400;2.8691;527.90
18500;2.8794;532.70
18600;2.8895;537.45
18700;2.8997;542.25
18800;2.9098;547.05
18900;2.9201;551.90
19000;2.9300;556.70
19100;2.9404;561.60
19200;2.9505;566.50
19300;2.9606;571.40
19400;2.9708;576.35
19500;2.9811;581.30
19600;2.9912;586.30
19700;3.0012;591.25
19800;3.0113;596.25
19900;3.0214;601.25
20000;3.0318;606.35
20100;3.0419;611.40
20200;3.0520;616.50
20300;3.0621;621.60
20400;3.0723;626.75
20500;3.0826;631.95
20600;3.0929;637.15
20700;3.1028;642.30
20800;3.1132;647.55
20900;3.1231;652.75
21000;3.1332;657.95
21100;3.1436;663.30
21200;3.1537;668.60
21300;3.1636;673.85
21400;3.1740;679.25
21500;3.1841;684.60
21600;3.1942;689.95
21700;3.2045;695.40
21800;3.2147;700.80
21900;3.2248;706.25
22000;3.2351;711.70
22100;3.2450;717.15
22200;3.2552;722.65
22300;3.2655;728.20
22400;3.2756;733.75
22500;3.2858;739.30
22600;3.2959;744.85
22700;3.3060;750.45
22800;3.3162;756.10
22900;3.3265;761.75
23000;3.3366;767.40
23100;3.3467;773.10
23200;3.3567;778.75
23300;3.3670;784.50
23400;3.3773;790.30
23500;3.3873;796.00
23600;3.3976;801.85
23700;3.4077;807.60
23800;3.4178;813.45
23900;3.4280;819.30
24000;3.4381;825.15
24100;3.4484;831.05
24200;3.4586;837.00
24300;3.4685;842.85
24400;3.4786;848.80
24500;3.4889;854.80
24600;3.4989;860.75
24700;3.5092;866.75
24800;3.5195;872.85
24900;3.5297;878.90
25000;3.5396;884.90
25100;3.5499;891.00
25200;3.5600;897.10
25300;3.5704;903.30
25400;3.5803;909.40
25500;3.5904;915.55
25600;3.6006;921.75
25700;3.6109;928.00
25800;3.6210;934.20
25900;3.6312;940.50
26000;3.6413;946.75
26100;3.6516;953.05
26200;3.6617;959.35
26300;3.6719;965.70
26400;3.6820;972.05
26500;3.6923;978.45
26600;3.7022;984.80
26700;3.7126;991.25
26800;3.7227;997.70
26900;3.7326;1004.05
27000;3.7430;1010.60
27100;3.7533;1017.15
27200;3.7634;1023.65
27300;3.7736;1030.20
27400;3.7835;1036.70
27500;3.7936;1043.25
27600;3.8040;1049.90
27700;3.8141;1056.50
27800;3.8242;1063.15
27900;3.8343;1069.75
28000;3.8445;1076.45
28100;3.8546;1083.15
28200;3.8651;1089.95
28300;3.8750;1096.65
28400;3.8852;1103.40
28500;3.8953;1110.15
28600;3.9056;1117.00
28700;3.9156;1123.80
28800;3.9257;1130.60
28900;3.9358;1137.45
29000;3.9462;1144.40
29100;3.9563;1151.30
29200;3.9664;1158.20
29300;3.9765;1165.10
29400;3.9869;1172.15
29500;3.9970;1179.10
29600;4.0073;1186.15
29700;4.0173;1193.15
29800;4.0274;1200.15
29900;4.0375;1207.20
30000;4.0478;1214.35
30100;4.0580;1221.45
30200;4.0681;1228.55
30300;4.0780;1235.65
30400;4.0884;1242.85
30500;4.0985;1250.05
30600;4.1090;1257.35
30700;4.1189;1264.50
30800;4.1291;1271.75
30900;4.1392;1279.00
31000;4.1495;1286.35
31100;4.1595;1293.60
31200;4.1698;1301.00
31300;4.1799;1308.30
31400;4.1900;1315.65
31500;4.2002;1323.05
31600;4.2103;1330.45
31700;4.2204;1337.85
31800;4.2306;1345.35
31900;4.2409;1352.85
32000;4.2508;1360.25
32100;4.2612;1367.85
32200;4.2710;1375.25
32300;4.2814;1382.90
32400;4.2917;1390.50
32500;4.3019;1398.10
32600;4.3120;1405.70
32700;4.3221;1413.35
32800;4.3322;1420.95
32900;4.3426;1428.70
33000;4.3527;1436.40
33100;4.3626;1444.00
33200;4.3728;1451.75
33300;4.3831;1459.55
33400;4.3930;1467.25
33500;4.4036;1475.20
33600;4.4135;1482.95
33700;4.4236;1490.75
33800;4.4339;1498.65
33900;4.4441;1506.55
34000;4.4542;1514.45
34100;4.4645;1522.40
34200;4.4744;1530.25
34300;4.4848;1538.30
34400;4.4949;1546.25
34500;4.5050;1554.25
34600;4.5150;1562.20
34700;4.5255;1570.35
34800;4.5356;1578.40
34900;4.5458;1586.50
35000;4.5557;1594.50
35100;4.5658;1602.60
35200;4.5761;1610.80
35300;4.5863;1618.95
35400;4.5964;1627.15
35500;4.6061;1635.15
35600;4.6156;1643.15
35700;4.6253;1651.25
35800;4.6350;1659.35
35900;4.6447;1667.45
36000;4.6542;1675.50
36100;4.6638;1683.65
36200;4.6734;1691.75
36300;4.6831;1699.95
36400;4.6927;1708.15
36500;4.7020;1716.25
36600;4.7119;1724.55
36700;4.7214;1732.75
36800;4.7309;1740.95
36900;4.7406;1749.30
37000;4.7501;1757.55
37100;4.7598;1765.90
37200;4.7695;1774.25
37300;4.7790;1782.55
37400;4.7887;1790.95
37500;4.7979;1799.20
37600;4.8077;1807.70
37700;4.8174;1816.15
37800;4.8271;1824.65
37900;4.8363;1832.95
38000;4.8462;1841.55
38100;4.8557;1850.00
38200;4.8654;1858.60
38300;4.8751;1867.15
38400;4.8846;1875.70
38500;4.8941;1884.25
38600;4.9038;1892.85
38700;4.9131;1901.35
38800;4.9230;1910.10
38900;4.9325;1918.75
39000;4.9420;1927.40
39100;4.9517;1936.10
39200;4.9613;1944.85
39300;4.9708;1953.50
39400;4.9805;1962.30
39500;4.9902;1971.15
39600;4.9997;1979.90
39700;5.0094;1988.75
39800;5.0187;1997.45
39900;5.0284;2006.35
40000;5.0381;2015.25
40100;5.0478;2024.15
40200;5.0573;2033.05
40300;5.0668;2041.90
40400;5.0763;2050.85
40500;5.0860;2059.85
40600;5.0957;2068.85
40700;5.1052;2077.80
40800;5.1148;2086.85
40900;5.1243;2095.85
41000;5.1338;2104.85
41100;5.1437;2114.05
41200;5.1532;2123.10
41300;5.1627;2132.20
41400;5.1724;2141.35
41500;5.1821;2150.55
41600;5.1916;2159.70
41700;5.2011;2168.85
41800;5.2108;2178.10
41900;5.2205;2187.40
42000;5.2300;2196.60
42100;5.2395;2205.85
42200;5.2491;2215.10
42300;5.2588;2224.45
42400;5.2683;2233.75
42500;5.2781;2243.20
42600;5.2877;2252.55
42700;5.2970;2261.80
42800;5.3067;2271.25
42900;5.3164;2280.75
43000;5.3259;2290.15
43100;5.3356;2299.65
43200;5.3449;2309.00
43300;5.3546;2318.55
43400;5.3643;2328.10
43500;5.3740;2337.70
43600;5.3835;2347.20
43700;5.3931;2356.80
43800;5.4027;2366.40
43900;5.4123;2376.00
44000;5.4220;2385.70
44100;5.4313;2395.20
44200;5.4412;2405.00
44300;5.4505;2414.55
44400;5.4602;2424.35
44500;5.4699;2434.10
44600;5.4794;2443.80
44700;5.4891;2453.65
44800;5.4988;2463.45
44900;5.5083;2473.25
45000;5.5180;2483.10
45100;5.5274;2492.85
45200;5.5369;2502.70
45300;5.5467;2512.65
45400;5.5564;2522.60
45500;5.5658;2532.45
45600;5.5755;2542.45
45700;5.5850;2552.35
45800;5.5945;2562.30
45900;5.6044;2572.40
46000;5.6139;2582.40
46100;5.6234;2592.40
46200;5.6331;2602.50
46300;5.6424;2612.45
46400;5.6523;2622.65
46500;5.6618;2632.75
46600;5.6713;2642.85
46700;5.6810;2653.05
46800;5.6906;2663.20
46900;5.7002;2673.40
47000;5.7098;2683.60
47100;5.7195;2693.90
47200;5.7290;2704.10
47300;5.7387;2714.40
47400;5.7480;2724.55
47500;5.7577;2734.90
47600;5.7674;2745.30
47700;5.7769;2755.60
47800;5.7866;2766.00
47900;5.7961;2776.35
48000;5.8056;2786.70
48100;5.8153;2797.15
48200;5.8250;2807.65
48300;5.8347;2818.15
48400;5.8442;2828.60
48500;5.8536;2839.00
48600;5.8631;2849.45
48700;5.8730;2860.15
48800;5.8827;2870.75
48900;5.8920;2881.20
49000;5.9017;2891.85
49100;5.9114;2902.50
49200;5.9209;2913.10
49300;5.9306;2923.80
49400;5.9401;2934.40
49500;5.9498;2945.15
49600;5.9592;2955.75
49700;5.9688;2966.50
49800;5.9785;2977.30
49900;5.9881;2988.05
50000;5.9976;2998.80
50100;6.0074;3009.70
50200;6.0170;3020.55
50300;6.0263;3031.25
50400;6.0360;3042.15
50500;6.0455;3053.00
50600;6.0554;3064.05
50700;6.0649;3074.90
50800;6.0742;3085.70
50900;6.0839;3096.70
51000;6.0936;3107.75
51100;6.1031;3118.70
51200;6.1130;3129.85
51300;6.1224;3140.80
51400;6.1320;3151.85
51500;6.1416;3162.90
51600;6.1513;3174.05
51700;6.1608;3185.15
51800;6.1705;3196.30
51900;6.1798;3207.30
52000;6.1895;3218.55
52100;6.1992;3229.80
52200;6.2087;3240.95
52300;6.2184;3252.20
52400;6.2281;3263.50
52500;6.2376;3274.75
52600;6.2473;3286.10
52700;6.2567;3297.30
52800;6.2663;3308.60
52900;6.2760;3320.00
53000;6.2856;3331.35
53100;6.2951;3342.70
53200;6.3039;3353.65
53300;6.3118;3364.20
53400;6.3196;3374.65
53500;6.3277;3385.30
53600;6.3356;3395.90
53700;6.3434;3406.40
53800;6.3514;3417.05
53900;6.3592;3427.60
54000;6.3672;3438.30
54100;6.3750;3448.90
54200;6.3829;3459.55
54300;6.3909;3470.25
54400;6.3987;3480.90
54500;6.4065;3491.55
54600;6.4145;3502.30
54700;6.4225;3513.10
54800;6.4303;3523.80
54900;6.4383;3534.65
55000;6.4462;3545.40
55100;6.4540;3556.15
55200;6.4618;3566.90
55300;6.4698;3577.80
55400;6.4778;3588.70
55500;6.4858;3599.60
55600;6.4935;3610.40
55700;6.5015;3621.35
55800;6.5093;3632.20
55900;6.5174;3643.25
56000;6.5253;3654.15
56100;6.5331;3665.05
56200;6.5408;3675.95
56300;6.5489;3687.05
56400;6.5568;3698.05
56500;6.5646;3709.00
56600;6.5726;3720.10
56700;6.5806;3731.20
