name,id,category,amount,type,share,average,delta
Aarau,0,Allgemeine Verwaltung,1215.0903505724204,mittel,0.09091551102109012,0.08655591019109915,0.050367454057912306
Aarau,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",878.2989092857065,mittel,0.06571609603298952,0.07015981830624264,-0.06333714055325218
Aarau,2,Bildung,4186.983006797962,mittel,0.31327851424408903,0.2794315697395618,0.12112784727965263
Aarau,3,"Kultur, Sport und Freizeit, Kirche",1012.5575016294536,mittel,0.07576159472874801,0.06677799418173824,0.1345293559216624
Aarau,4,Gesundheit,1552.1444734480062,mittel,0.11613458037553218,0.1338791066630749,-0.13254141538454728
Aarau,5,Soziale Sicherheit,2416.270920864211,mittel,0.1807902642237935,0.21296686142016943,-0.15108734279974978
Aarau,6,Verkehr und Nachrichtenübermittlung,1562.7271316890422,mittel,0.11692639621168961,0.09672062575965465,0.20890859931205547
Aigle,0,Allgemeine Verwaltung,1465.761806829116,klein,0.08568199022792518,0.08491773690024637,0.008999925758461773
Aigle,1,"Öffentliche Ordnung und Sicherheit, Verteidigung",1358.4847623614285,klein,0.07941104590877585,0.0644459473909818,0.23221163042267837
Aigle,2,Bildung,4343.652541712603,klein,0.2539108284160053,0.3209423569173297,-0.2088584665021039
Aigle,3,"Kultur, Sport und Freizeit, Kirche",662.5167199845356,klein,0.03872781434410099,0.05110652376824176,-0.24221388017459053
Aigle,4,Gesundheit,2925.9535107496363,klein,0.17103837673172598,0.1298954400720156,0.31673888349660506
Aigle,5,Soziale Sicherheit,3791.3170922283552,klein,0.22162372667494915,0.19902469271572362,0.11354889511878202
Aigle,6,Verkehr und Nachrichtenübermittlung,1746.614442216931,klein,0.10209940037510556,0.09608122031060676,0.06263638247977621
Altdorf (UR),0,Allgemeine Verwaltung,1121.585434445884,klein,0.12296919365311725,0.08491773690024637,0.44809786673389873
Altdorf (UR),1,"Öffentliche Ordnung und Sicherheit, Verteidigung",491.4623999638706,klein,0.053883309446008075,0.0644459473909818,-0.1638991802058884
Altdorf (UR),2,Bildung,3055.6938697886103,klein,0.33502237072499086,0.3209423569173297,0.043870849403925764
